Unnamed: 0,gene_name,gene_id,most_abundant,score,baseMean,log2FoldChange,padj,experiment
12420,St8sia2,ENSMUSG00000025789,Neuron,23807.14,5.931514065789799,4.516821136988282,0.0005152273883056,Glut_vs_GABA(noGlia)
6534,Hmcn1,ENSMUSG00000066842,Endothelial Cells,19.52717,4892.268149253458,0.9577605152094264,0.0159908471563525,Glut_withGlia_vs_noGlia
16239,Pdgfra,ENSMUSG00000029231,Oligodendrocyte Precursor Cell,1901.564,41.532315121742975,0.7403144060917923,0.4338627136565454,Glut_vs_GABA(withGlia)
16298,Adam12,ENSMUSG00000054555,Oligodendrocyte Precursor Cell,9411.53,141.9709036315185,-0.4115221018408969,0.0371809014476672,GABA_withGlia_vs_noGlia
9338,Rhoh,ENSMUSG00000029204,Microglia,20.93174,16.730411181623595,0.5972963817051249,0.3850259173677053,Glut_vs_GABA(withGlia)
11689,Slc45a3,ENSMUSG00000026435,Myelinating Oligodendrocytes,5863.514,8.117390529657934,-0.7909181030217945,1.5054859746355114e-08,Glut_withGlia_vs_noGlia
12429,Prokr2,ENSMUSG00000050558,Neuron,22.76679,79.03145122182573,0.5043538720224943,0.2477334158383509,GABA_withGlia_vs_noGlia
15407,Rras2,ENSMUSG00000055723,Newly Formed Oligodendrocyte,35.31432,649.9103399380999,-0.3865247810678216,0.0038904977875913,GABA_withGlia_vs_noGlia
15374,Pycr1,ENSMUSG00000025140,Newly Formed Oligodendrocyte,19.02836,1782.2784894682245,-0.3491303800071574,0.0001045974700559,Glut_vs_GABA(withGlia)
104,Gm17455,ENSMUSG00000090439,Astrocytes,65026.32,239.85206107899015,-0.4314292752930669,1.806637435944703e-05,Glut_vs_GABA(withGlia)
9342,Irf8,ENSMUSG00000041515,Microglia,257.4065,456.3903383218029,0.911691928954075,2.168884192224881e-23,Glut_vs_GABA(withGlia)
6591,Adamtsl2,ENSMUSG00000036040,Endothelial Cells,17.51857,6.919036606486367,0.571010938539337,0.3764116898023116,Glut_vs_GABA(noGlia)
9301,Plau,ENSMUSG00000021822,Microglia,77.91315,14.553214626230943,0.1585759731831611,0.7212157893875585,Glut_vs_GABA(withGlia)
11728,Plekhg3,ENSMUSG00000052609,Myelinating Oligodendrocytes,9183.755,123.55305199358574,-1.216817998768353,0.0006955831741531,Glut_vs_GABA(withGlia)
16325,Dll3,ENSMUSG00000003436,Oligodendrocyte Precursor Cell,15.70711,34.06990896005229,-0.3994411849775388,0.0065674850750083,Glut_withGlia_vs_noGlia
92,Frem2,ENSMUSG00000037016,Astrocytes,145.0921,27.76323541227311,0.7835881679488865,0.8683306474838922,Glut_vs_GABA(withGlia)
6552,Hrct1,ENSMUSG00000071001,Endothelial Cells,13439.11,6.50333472281819,0.096490844008506,0.8761927564063141,Glut_withGlia_vs_noGlia
6587,Fzd6,ENSMUSG00000022297,Endothelial Cells,160.1165,17449.963783439074,-0.3315829369059945,0.0005585544985628,Glut_vs_GABA(noGlia)
12452,Cpne5,ENSMUSG00000024008,Neuron,196.6664,1217.1360429214606,-0.8024103953080363,0.5898741600905363,Glut_vs_GABA(withGlia)
15402,Ssh3,ENSMUSG00000034616,Newly Formed Oligodendrocyte,41.83571,785.0015752982561,0.1328421298432179,0.4144598427158564,Glut_withGlia_vs_noGlia
12436,Chodl,ENSMUSG00000022860,Neuron,67704.42,975.5465432633736,0.944926650835137,0.6781519776132479,GABA_withGlia_vs_noGlia
11693,Cmtm5,ENSMUSG00000040759,Myelinating Oligodendrocytes,25.94633,637.3844153639703,-0.1879079997198643,0.0110468358519028,Glut_vs_GABA(withGlia)
15387,Onecut2,ENSMUSG00000045991,Newly Formed Oligodendrocyte,343.2825,74.33284032718089,1.084826644539732,0.1851027196345192,Glut_vs_GABA(withGlia)
6478,Akr1c14,ENSMUSG00000033715,Endothelial Cells,25.72794,52.26602757342472,0.2947427808288899,0.00490633000761,Glut_withGlia_vs_noGlia
15405,Il1rap,ENSMUSG00000022514,Newly Formed Oligodendrocyte,14.031820000000002,23.410393571831587,-1.2849557006182846,0.7804516214501385,Glut_vs_GABA(noGlia)
76,Kcnn3,ENSMUSG00000000794,Astrocytes,65756.23,101.67099858068904,-1.4602769440573224,0.1928464586149405,Glut_vs_GABA(withGlia)
11740,Ldb3,ENSMUSG00000021798,Myelinating Oligodendrocytes,33.37708,44.26190853623812,4.275226681281107,0.6523058006662473,Glut_withGlia_vs_noGlia
11713,Fbxo36,ENSMUSG00000073633,Myelinating Oligodendrocytes,211.4081,10.030335324152045,-0.4867483011266895,0.4733556828431239,GABA_withGlia_vs_noGlia
11668,Apod,ENSMUSG00000022548,Myelinating Oligodendrocytes,72.12185,3533.504490053176,-1.1883669867726487,0.6056938705090795,Glut_vs_GABA(withGlia)
6501,Angpt2,ENSMUSG00000031465,Endothelial Cells,65756.23,2259.523077616963,1.005681424842936,0.3819025553451403,GABA_withGlia_vs_noGlia
9381,Rac2,ENSMUSG00000033220,Microglia,66543.9,40.89368343123122,-2.645242215700808,0.0203566697603649,Glut_vs_GABA(withGlia)
100,Prdm16,ENSMUSG00000039410,Astrocytes,78.69227,100.46422917066911,-1.0244865636632587,0.7902774661493203,Glut_withGlia_vs_noGlia
16324,Itgav,ENSMUSG00000027087,Oligodendrocyte Precursor Cell,40.75326,6.753350915570018,-2.015635824491216,0.2464455389883365,Glut_withGlia_vs_noGlia
12451,Rxfp1,ENSMUSG00000034009,Neuron,144.5264,955.8014442834448,0.8759279535988843,0.5995477829090099,Glut_withGlia_vs_noGlia
2,Gm973,ENSMUSG00000047361,Astrocytes,23.95482,24.96986541816733,0.1995747005817715,0.3503805187467532,Glut_withGlia_vs_noGlia
66,Rdh5,ENSMUSG00000025350,Astrocytes,66.31456999999999,133.3273284125932,0.1482577278691426,0.1272845116077953,Glut_withGlia_vs_noGlia
50,Pm20d1,ENSMUSG00000042251,Astrocytes,9828.907,763.6843746232103,0.5595187106750208,0.1153758029511804,Glut_withGlia_vs_noGlia
59,Adhfe1,ENSMUSG00000025911,Astrocytes,335.1063,3031.1965011489674,-0.9718657230261822,0.0773195335522971,Glut_vs_GABA(noGlia)
15388,Dusp15,ENSMUSG00000042662,Newly Formed Oligodendrocyte,2163.042,456.7819453944924,-0.0592155295043727,0.5491074140545825,Glut_vs_GABA(noGlia)
11716,Plekhh1,ENSMUSG00000060716,Myelinating Oligodendrocytes,5749.201999999999,555.7749492539261,-0.2198962368967478,0.4114074065414988,Glut_withGlia_vs_noGlia
12358,Sp9,ENSMUSG00000068859,Neuron,106.4131,13.336221412993677,0.0372875768925606,0.8095278491016556,Glut_vs_GABA(noGlia)
11743,Fam57a,ENSMUSG00000069808,Myelinating Oligodendrocytes,36.42621,560.5746225413446,-2.2266200021495925,0.0001838786644924,Glut_vs_GABA(withGlia)
6506,Slfn5,ENSMUSG00000054404,Endothelial Cells,29.821240000000003,1424.2133794463018,0.3300828861533793,0.3765391968793538,Glut_vs_GABA(withGlia)
15366,Gbp11,ENSMUSG00000092021,Newly Formed Oligodendrocyte,10.35376,101.72325112133976,0.6485178501862611,0.4157033941093258,GABA_withGlia_vs_noGlia
16314,Gm2a,ENSMUSG00000000594,Oligodendrocyte Precursor Cell,138.4893,9.950369216634297,-0.5564514118366256,0.6724068231767095,Glut_withGlia_vs_noGlia
12376,Gdf5,ENSMUSG00000038259,Neuron,37569.38,586.1281732416667,-0.2955063267715074,0.6772457760809735,Glut_withGlia_vs_noGlia
69,Otx1,ENSMUSG00000005917,Astrocytes,211.4081,955.8014442834448,0.6613600366230453,0.0134202325674855,GABA_withGlia_vs_noGlia
9377,Mpeg1,ENSMUSG00000046805,Microglia,56.86258,3703.289648360552,0.166491940153597,0.0869120184631765,GABA_withGlia_vs_noGlia
12426,Nppc,ENSMUSG00000026241,Neuron,22.53199,56.06290991647464,-0.5440188987745905,0.8178457840111211,GABA_withGlia_vs_noGlia
15347,Tns3,ENSMUSG00000020422,Newly Formed Oligodendrocyte,9696.813,16.155384159731284,1.2317656906492556,0.520710686921821,Glut_vs_GABA(withGlia)
6579,Acss3,ENSMUSG00000035948,Endothelial Cells,8896.632,38.34878454804647,1.292391170051826,1.0514864864887839e-09,GABA_withGlia_vs_noGlia
16299,Kcnh8,ENSMUSG00000035580,Oligodendrocyte Precursor Cell,32.070840000000004,6.049372261353517,0.8316215480417876,6.748833154185033e-15,Glut_vs_GABA(noGlia)
15335,Srpk3,ENSMUSG00000002007,Newly Formed Oligodendrocyte,28.19078,4.102187377551859,-3.559107849028808,0.0294480985129513,Glut_withGlia_vs_noGlia
15402,Ssh3,ENSMUSG00000034616,Newly Formed Oligodendrocyte,552.611,28.092060465916266,-0.4990616331398592,0.0005829755408127,Glut_vs_GABA(withGlia)
15413,Tmcc3,ENSMUSG00000020023,Newly Formed Oligodendrocyte,144.8784,700.8998778580717,-0.1761736379259911,0.0537058625843676,Glut_withGlia_vs_noGlia
16313,Ddx43,ENSMUSG00000070291,Oligodendrocyte Precursor Cell,18.38926,1548.549030707553,-0.0423644175681761,0.0407465032682349,Glut_vs_GABA(noGlia)
11723,Gng8,ENSMUSG00000063594,Myelinating Oligodendrocytes,24.16987,6.9291027195236765,1.2125823922707375,0.1855521156366772,GABA_withGlia_vs_noGlia
12386,Lhx8,ENSMUSG00000096225,Neuron,179.6813,80.59771267852884,-0.0184429393989159,0.0811738808666974,Glut_vs_GABA(noGlia)
27,Cbs,ENSMUSG00000024039,Astrocytes,9353.462,26.984739275575016,0.2613836525033903,0.0017230016117968,Glut_withGlia_vs_noGlia
16287,Aldh1a2,ENSMUSG00000013584,Oligodendrocyte Precursor Cell,17.51857,112.31028298098892,3.48829185466598,0.0270459147659256,Glut_vs_GABA(noGlia)
